AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0,0,0,0,0,1.28,0.87,0,0,0,0,0,0.09,1.35,1.16,0,Positive
0,0,0,0,0,0.24,3.14,0,0,0,0,0,3.38,3.14,0,0.24,Positive
0.22,0,0.22,0.28,1.58,0,0,0,0,0,0,0,2.67,0,0.22,2.88,Positive
0,0,0.25,0,0.7,0.17,2.15,0,0,0,1.98,0,2.23,2.15,0.87,0.95,Neutral
0.32,0,0.32,0.35,0.32,0.7,1.03,0,0,0,0.57,0,1.14,1.03,1.23,1.34,Neutral
0,0,0,0.18,0,1.18,1.43,0,0,0,0.43,0,2.68,2.76,0.43,0.35,Neutral
0,0,0,2.61,0,1.42,0,0,0,0,0,0,1.42,0,1.37,2.78,Neutral
0,0,0.2,0,0,2.45,0,0,0,0,0,0,0,0,2.65,2.65,Neutral
0.75,0,0.77,0.23,0.38,0.82,0.58,0,0,0,0,0,0.38,0.58,2.33,2.13,Neutral
0,0,0.58,0.43,0,1.66,0,0,0,0,0,0,2.67,0,0,2.67,Neutral
0.17,0,0.42,0,0.12,0.83,1.45,0,0,0,0.37,0,0.83,1.45,1.96,1.56,Neutral
0,0,0,1.03,0,1.03,0.37,0,0.66,0.36,0.72,0.36,3.32,1.02,0.73,3.02,Neutral
0,0,0.93,0.99,0,0.79,0.62,0,0,0,0,0,1.96,1.29,0.82,1.49,Neutral
0,0,0,0,0,3.13,2.85,0,0,0,0,0,3.13,2.85,0,0.28,Neutral
0.27,0,0.33,0.64,0,1.6,1.23,0,0,0,0,0,1.18,1.23,1.98,1.93,Negative
0.18,0.04,0.18,0,0.23,0.25,1.92,0,0,0.12,1.92,0.12,0.16,2.03,2.33,0.71,Negative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,3.03,Negative
0,0,0,2.07,0,2.07,0.38,0,0,0,0,0,0,0.38,2.68,2.3,Negative
0,0,0,1.17,0,1.17,0,0,0,0,0,0,0,0,3.04,3.04,Negative
0.2,0,0.2,0.45,0,0,0,0,0,0,0,0,0,0,2.07,2.07,Negative
0,0,0.27,0,0.6,1.27,0.5,0,0,0,0,0,0,1.27,3.06,1.79,Negative
0,0,0,0.56,0,0.04,0,0,0,0,0,0,0.04,0,0.56,0.6,Negative
0,0,0.35,0.17,1.22,1.06,1.35,0,0,0,0,0,1.99,1.45,2.1,2.64,Negative
0,0,0.25,0.25,0,0.88,0.49,0,0,0,0,0,0.38,0.81,0.6,0.44,Negative
0.87,0,0.7,0.15,0.58,0.75,0.75,0,0,0,0,0,2.05,0.75,0.91,2.35,Negative
0,0,0,0,0,2.03,0.7,0,0,0.2,0,0.2,2.03,2.8,0.9,0.13,Negative
0,0,0.32,0,2.47,0,0,0,0,0,0,0,2.61,0,0.39,3.01,Negative
0,0,0,2.32,0,2.6,3.38,0,1.25,0.3,1.08,0.3,2.18,3.8,4.4,2.78,Negative
0.7,0,0.88,0.15,0,2.48,4.73,0,0,0.1,1.13,0.1,1.39,4.83,4.13,1.7,Negative
0.96,0,1.55,0,1.22,1.87,3.58,0,0,0,0,0,1.25,3.58,3.83,2.73,Negative
0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.36,7.46,7.1,Negative
0,0,0,1.67,0.41,3.31,1.65,0,0,0,0,0,1.92,1.65,4.74,5.01,Negative
0,0,0,0.67,0.55,4.54,0.45,0,0,0,0,0,0.88,3.46,6.07,2.71,Negative
1.12,0,0.28,0,1.39,1.63,1.12,0,0,0,0,0.1,0.28,1.4,5.89,4.77,Negative
0,0,0.23,0.33,0.53,1.68,4.91,0,0,0,0,0,0.12,4.91,6.41,1.73,Negative
0,0,0,1.55,0,6.77,0.3,0,0,0,0,0,7.07,0.3,0,6.77,Negative
0,0,0,2.23,0,8.33,0,0,0,0,0,0,5.56,0,0.82,8.33,Negative
2.18,0,0.11,1.71,1.07,2.91,0,0,0,0,0,0,0.36,0,7.5,7.85,Negative
